#Fichier XDMF_DATA
#Analysed Files: /home/mlamari/Post_Doc_1/Test_Preliminaire/FEniCSX/J_TestMaille/results_plasticity_Dogbone_vM_maille_01_tempsx4/results_.vtm
#[1] Increment   [2] VonMisesStressBulk   [3] CumulativePlasticStrainBulk   [4] TotalStrainBulk   [5] StressXXBulk   [6] PlasticStrainBulk   [7] ForceBordGauche   [8] StressXXBordGauche   [9] TotalStrainBordGauche   [10] VonMisesStressOzx   [11] CumulativePlasticStrainOzx   [12] TotalStrainOzx   [13] StressXXOzx   [14] PlasticStrainOzx
00080   35.0034488   0.0   0.0001751   35.0707471   0.0   17.5139213   11.6759475   5.48e-05   34.8670192   0.0   0.0001746   34.9843273   0.0   
00081   35.4409919   0.0   0.0001773   35.5091315   0.0   17.7328453   11.8218969   5.55e-05   35.3028569   0.0   0.0001767   35.4216314   0.0   
00082   35.878535   0.0   0.0001795   35.9475158   0.0   17.9517694   11.9678462   5.62e-05   35.7386947   0.0   0.0001789   35.8589354   0.0   
00083   36.3160781   0.0   0.0001817   36.3859002   0.0   18.1706934   12.1137956   5.69e-05   36.1745324   0.0   0.0001811   36.2962395   0.0   
00084   36.7536213   0.0   0.0001839   36.8242845   0.0   18.3896173   12.2597449   5.76e-05   36.6103701   0.0   0.0001833   36.7335436   0.0   
00085   37.1911643   0.0   0.0001861   37.2626688   0.0   18.6085414   12.4056943   5.82e-05   37.0462078   0.0   0.0001855   37.1708478   0.0   
00086   37.6287075   0.0   0.0001883   37.7010532   0.0   18.8274654   12.5516436   5.89e-05   37.4820457   0.0   0.0001876   37.6081518   0.0   
00087   38.0662506   0.0   0.0001905   38.1394375   0.0   19.0463894   12.697593   5.96e-05   37.9178834   0.0   0.0001898   38.0454559   0.0   
00088   38.5037937   0.0   0.0001926   38.5778218   0.0   19.2653134   12.8435423   6.03e-05   38.3537211   0.0   0.000192   38.48276   0.0   
00089   38.9413368   0.0   0.0001948   39.0162062   0.0   19.4842374   12.9894916   6.1e-05   38.7895589   0.0   0.0001942   38.9200641   0.0   
00090   39.3788799   0.0   0.000197   39.4545905   0.0   19.7031614   13.135441   6.17e-05   39.2253966   0.0   0.0001964   39.3573682   0.0   
00091   39.816423   0.0   0.0001992   39.8929749   0.0   19.9220854   13.2813903   6.24e-05   39.6612343   0.0   0.0001986   39.7946723   0.0   
00092   40.2539661   0.0   0.0002014   40.3313592   0.0   20.1410095   13.4273397   6.3e-05   40.0970721   0.0   0.0002007   40.2319764   0.0   
00093   40.6915092   0.0   0.0002036   40.7697435   0.0   20.3599335   13.573289   6.37e-05   40.5329098   0.0   0.0002029   40.6692804   0.0   
00094   41.1290524   0.0   0.0002058   41.2081279   0.0   20.5788575   13.7192384   6.44e-05   40.9687475   0.0   0.0002051   41.1065845   0.0   
00095   41.5665955   0.0   0.000208   41.6465122   0.0   20.7977815   13.8651877   6.51e-05   41.4045853   0.0   0.0002073   41.5438887   0.0   
00096   42.0041386   0.0   0.0002102   42.0848966   0.0   21.0167056   14.011137   6.58e-05   41.8404231   0.0   0.0002095   41.9811928   0.0   
00097   42.4416817   0.0   0.0002123   42.5232809   0.0   21.2356296   14.1570864   6.65e-05   42.2762608   0.0   0.0002116   42.4184968   0.0   
00098   42.8792248   0.0   0.0002145   42.9616652   0.0   21.4545536   14.3030357   6.71e-05   42.7120985   0.0   0.0002138   42.855801   0.0   
00099   43.3167679   0.0   0.0002167   43.4000496   0.0   21.6734776   14.4489851   6.78e-05   43.1479362   0.0   0.000216   43.293105   0.0   
00100   43.754311   0.0   0.0002189   43.8384339   0.0   21.8924017   14.5949344   6.85e-05   43.5837739   0.0   0.0002182   43.7304091   0.0   
